product_name,ingredients,energy_kcal,protein_100g,fat_100g,carbohydrates_100g,allergens,price,rating
Sesam Leinsaat Protein-Snack,"Weizen-Vollkornmehl (42 %), Weizengluten, Sesam (15 %), Leinsaat (14%), Natives Olivenöl extra, Hefe, Mersalz, Gerstenmalzextrakt",450.0,32.0,20.0,30.0,"en:gluten,en:sesame-seeds",,
Keto Protein Cookie,"Justine's Protein Blend (49%) (Calcium Caseinate (From Milk, With Monoglycer - ides), Almonds, Egg), Sweetener (Erythritol), No Added Sugar White Compound Choc Chips (10%)(Sweetener (Erythritol), Vegetable Fat (Palm Kernel Oil, Contains Emulsifier (Sorbitan Tristearate)), Soy Protein Isolate, Milk Solids, Emulsifier (Soy Lecithin), Natural Vanilla Flavour) Vegetable Oil Spread (Palm Oil & Palm Kernel Oil, Water, Salt, Emulsifiers (471, Soy Lecithin 322 435),Natural flavour, Antioxidant (307b), Natural Colour (160a)), Bulking Agent (Polydextrose Humectant (Vegetable Glycerol), Emulsifier (Soy Lecithin), Baking Powder (Contains Raising Agents (Sodium Acid Pyrophosphate, Sodium Bicarbonate)), Natural Raspberry Flavour, Sea Salt.",382.0,28.2,22.4,2.6,,,
Vega protein+snack bar,N/A,408.16326530612,22.448979591837,18.367346938776,46.938775510204,,,
