product_name,ingredients,energy_kcal,protein_100g,fat_100g,carbohydrates_100g,allergens,price,rating
Lizi's Passionfruit Pistachio Cereal,"Manaeltlocken, gehacKte Hasetnusse, (1%), Kürbiskeme, Sonnenblumenkerne, Goldleinsamen, natürliche Aromastoffe. Allergene fett gekennzeichnet. Kann Spuren von Gluten und Erdnüssen enthalten. FürVegetarier und Veganer geeignet. Gentechnikfrei. Kühl und trocken lagern. Nach Gebrauch wieder verschlie13en. Mindestens haltbar bis: siehe oben. Hergestellt in UK. (FR) CÉRÉALES GRILLÉES PRÊTES à CONSOMMER .. FRUIT DE LA PASSION PISTACHE INGRÉDIENT' Flocons d'avoine, Huile de colza, Noix de coco déshydratée, Fructose, Fibres de chicorée, Jus de pomme concentré, Mélasse noire, Pistaches (3%), morceaux de noix de cajou, Flocons d'amandes, Noisettes hachées, Purée de fruit de la passion (1%), Graines de citrouille, Graines de toumesol, Graines de lin doré, Arôme naturel. Allergènes indiqués en caractères gras. Peut contenir des traces de gluten et de cacahuètes. Convient aux végétariens et végétaliens. Sans OGM. À conserver dans un endroit frais. Refermer sachet après usage. Date limite de consommati0n recommandée : Voir le dessus de l'emballage. Fabriqué au Royaume-Uni. 5 060092 030601",483.0,9.5,23.8,52.1,en:nuts,,
NESTLE CHEERIOS BIO Barres de céréales 4x22g,"Flocons d'AVOINE complète* 20,5%, chocolat blanc* 14,4% (beurre de cacao* 4,8%, inuline [fibre]*, sucre*, LAIT entier en poudre* 2,2%, émulsifiant : lécithine de tournesol*), huile de tournesol*, dextrose*, sirop de glucose*, farine d'AVOINE complète* 7,4%, farine de BLE complet* 7,4%, LAIT concentré sucré* 7,0% (LAIT* 3,8%, sucre*), farine de riz*, farine d'ORGE complète* 4,4%, sucre*, miel* 2,0%, amidon de BLE*, farine de maïs complet* 0,5%, farine de riz complet* 0,5%, sirop de sucre inverti*, sel, farine de malt d'ORGE*, émulsifiant : lécithine de tournesol* ; mélasse*, antioxydant : extrait riche en tocophérols ; arôme naturel. *Ingrédients issus de l'agriculture biologique. Peut contenir du soja et des fruits à coque.",451.0,6.7,18.8,60.6,"en:gluten,en:milk",,
Croustillant avoine chocolat,"D Mélange de céréales (68,9%) croustillantes et de chocolat (10%), issu de l'agriculture biologique, réduit en sucres&quot;.&quot;30% en moins par rapport à Un produit similaire.  : Flocons d'avoine complets&quot; 55%, morceaux de chocolat noir 10% (påte de cacao&quot;, beurre de cacao&quot;, sucre de canne&quot;) sucre mi-blanc de canne**, huile de tournesol&quot;, billettes de riz extrudées&quot; (farine de riz&quot;7,6%, sel), farine de blé&quot; 6,3%, son d'avoine*&quot; 5,2%, miel&quot;, nox de coco ràpée&quot;.&quot;Biologique. Peut contenir des traces d'autres céréales contenant du gluten, de fruitsà coque, de lat, de soja, de graines sésame el d'arachides. Conservation :A conserver à labri de la chaleur et de humidté. Bien refermer le sachet après chaque utilisation.",465.0,10.0,18.0,61.0,,,
,"Atuit) STER BETH H ER PAREV DIN UK BRAN ENRICHED WHEAT FLAKES WITH SULTANAS. INGREDIENTS: Wholewheat (43%), sultanas(27%), wheat bran (13%), wholemeal flour, sugar, glucose syrup, barley malt flavouring, salt, natural flavouring. VITAMINS & MINERALS: Niacin, iron, vitamin B6, vitamin B2 (riboflavin), vitamin B1(thiamin), folic acid, vitamin D, vitamin B12. For allergens see ingredients highlighted in bold. Best before: see top.",349.0,9.3,2.0,68.0,en:gluten,,
Crunchy Sante Naturalne,100 g proizvoda:/ 1 oo g bF6dÜkÈttzturvërtïba:/ Energiasisaldus:/ Energijska vrednost :/ Eneréètiskâ Rasvad/Ma5ëobé/Taüki/ millest küllastunud rasvhapped/ od teh aStobe/ tostarppiesâtinàtàs taukskâbes/ nasitene@ Süsivesikud/Ogljikovi hidrati/O millest suhkrud/ od teh slalorji/ tostarp cukuri/ vlàknfréZ_Skjedrvielas/ (Valgud/Beljakovine/ Olbaltumvieja'/ Tiamiin/Tiamin/Tiamïns/ Foolhape/ Folna kislina/ Folijskâbe/ u-tF-'J/,422.0,7.9,12.0,67.0,,,
Oat express,flocons d'avoine complets,370.0,11.0,7.7,59.0,,,
,"FIOCCHI D'AVENA INTEGRALI - SENZA GLUTINE, specificamente formulato per persone intolleranti al glutine. Ingredienti: fiocchi d'avena integrali* senza glutine. *Prodotto biologico. Può contenere frutta a guscio. Conservare in luogo fresco e asciutto. COPOS DE AVENA INTEGRAL - SIN GLUTEN. gredientes: copos de avena integrales* sin gluten. Producto ecológico. Puede contener frutos de cáscara",365.0,14.0,6.9,56.0,,,
Punch balls,"Figues séchées (figues séchées 21,5%, farine de riz), flocons d'avoine 22%, amandes grillées 14%, miel 9%, graines de tournesol, graines de courbe, billes de riz, huile de tournesol, sucre, graines de lin brun, mélasse de canne, sel, farine de blé.",489.0,13.0,26.0,46.0,,,
Unknown,Ovăz,373.0,13.0,6.9,68.0,,,
Crunchy Balls Duo,N/A,374.0,9.3,2.6,74.8,,,
