product_name,ingredients,energy_kcal,protein_100g,fat_100g,carbohydrates_100g,allergens,price,rating
Protéin cookie,"Proteine del grano (18%), farina di frumento, edulcoranti (maltitolo, xilitolo), proteine di siero di latt%), gocce di cioccolato (11%) (edulcorante (maltitolo)), pasta di cacao, emulsionante (lecitina di soia), cacao magro in polvere, olio di girasole, umidificante (glicerolo), olio di cocco, emulsionante (lecitina di soia), agente lievitante (carbonato di sodio), aromi naturali, sale",454.0,26.0,22.0,46.0,"en:gluten,en:soybeans",,
Protein-Cookies - Zarte Schokolade,N/A,486.0,15.0,23.0,53.0,,,
Protein-Cookies - Himbeergeschmack,N/A,481.0,15.0,22.0,55.0,,,
Plant Protein-Cookie Crunch,N/A,406.25,71.875,9.375,15.625,,,
