product_name,ingredients,energy_kcal,protein_100g,fat_100g,carbohydrates_100g,allergens,price,rating
Milk pro complete cacao,"Latte scremato, acqua, maltodestrina, proteine del latte, inulina, olio di semi di girasole, amido di riso, cacao magro in polvere 0,75%, stabilizzanti: gomma di gellano, fosfati di sodio: edulcorante: sucralosio; lattasi, vitamina A, vitamina C, vitamina E, vitamina D, vitamina K, vitamina B1 niacina, acido pantotenico, vitamina B6, biotina, acido folico, minerali (magnesio, ferro, zinco, rame, manganese, selenio, iodio, cromo, molibdeno), aroma naturale. Senza glutine. Senza conservanti aggiunti. Ricco di proteine. Il prodotto contiene glucosio e galattosio in conseguenza della scissione del lattosio. Agitare prima dell'uso. &quot;Contiene naturalmente zuccheri.",75.0,5.8,1.4,9.1,,,
25g protein shake,N/A,59.0,12.9,0.6,5.4,,,
Fit Shake Nu3 Vanilla,N/A,351.0,76.2,1.2,4.0,,,
Müllermilch Protein Bananen-Geschmack,,78.0,6.5,1.4,9.9,,,
all in Protein Mahlzeit Vanille,"50% MILCH mit 2,5% Fett, Wasser, Maltodextrin, 6% MILCHEIWEISS, Saccharose, Rapsöl, Dextrin, 0,1% Vanilleextrakt, Aroma, Säureregulator Citronensäure, Verdickungsmittel arrageen, Stabilisator (Natriumpolyphosphat, atriumphosphate), Laktase, Mineralstoffmischung (Magnesiumhydroxid, Kaliumcitrat, Kaliumhydroxid, Natriumcitrat, Kaliumchlorid, Eisenlactat, Zinksulfat, Kupfergluconat, Mangansulfat, Chrom(II)-chlorid, Natriummolybdat, Kaliumiodid, Natriumselenit, Natriumfluorid), Vitaminmischung (Natrium-L - ascorbat, DL-a-Tocopherylacetat, Retinylacetat, Nicotinamid, D-Biotin, Cholecalciferol, Pteroylmono - glutaminsäure, Pyridoxinhydrochlorid, Thiaminhydro - chlorid, Riboflavin, Phytomenadion, Cyanocobalamin, Calcium-D-pantothenat) Osmolarität: 470 m0sm/l Fotos: Adobe Stock, iStock",125.0,8.2,3.6,14.0,,,
Orgain plant protein,"filtered water, pea protein, organic alkalized cocoa, natural flavors, organic high oleic sunflower oil, rice bran, trisodium phosphate, tripotassium citrate, gellan gum, monk fruit extract, organic fruit , vegetable blend (organic apple fiber, organic acai, organic beet, organic kale, organic raspberry, organic spinach, organic tomato, organic banana, organic blueberry, organic carrot), sea salt",45.454545454545,6.0606060606061,1.3636363636364,2.7272727272727,,,
HIGH PROTEIN DRINK vanilla,N/A,48.0,7.0,0.5,4.0,,,
Protein,N/A,80.0,7.57576,0.2,11.60606,,,
Creamy Chocolate Fudge All-In-One Nutritional Shake,"Filtered water, orgain organic protein blend (*organic milk protein concentrate, organic whey protein concentrate), organic cane sugar, organic brown rice syrup, organic rice dextrins, organic high oleic sunflower oil, organic alkalized cocoa, organic natural flavors, organic rice bran extract, orgain vitamin & minerals blend (sodium ascorbate, magnesium sulfate, zinc gluconate, dl-alpha tocopheryl acetate, niacinamide, vitamin a palmitate, potassium iodide, copper gluconate, biotin, calcium d-pantothenate, cyanocobalamin, cholecalciferol, folic acid, thiamine hydrochloride, pyridoxine hydrochloride, riboflavin), trisodium phosphate, potassium chloride, tricalcium phosphate, tripotassium citrate, gellan gum, sea salt, organic inulin, organic locust bean gum, orgain organic fruit blend powder (organic acai, organic apple, organic banana, organic blueberry, organic raspberry), orgain organic veggie blend powder (organic tomato, organic spinach, organic beet, organic carrot, organic kale), natural flavor",76.9231,4.9231,2.1538,9.8462,,,
Strawberry Protein Shake,"Skimmed MILK (cellulose, cellulose gum, carrageenan), sweetener (sucralose), colour melke/mjölkproteindrik / dryck med jordbærsmag jordgubb For allergens see ingredients capitalised and bold. DAINOST indeholder och innehåller sødestof/søtstoff/sötningsmedel. UNT Opbevares køligt og tørt./Oppbevares kjølig og tørt./Förvaras på en s behandlad. Omrystes/ristes godt før åbning/åpning/skakas väl före me plats. Opbevares på køl/avkjølt efter åbning/förvaras i kylskåpet efter p og/och forbruge konsumera inden/innen/ inom 24 timer INGREDIENSER: Skummet/skumMÆLK/MELK/MJÖLK, MÆLKE ME MJÖLKproteinkoncentrat (30 %), skummet / skumMÆLKS ME MJÖLKSpulver, vand/vann / vatten, naturlig aroma/arom, stabi abiliseringsmedel (cellulose / cellulosa, cellulose gummi/cellulosum arrageenan/karragenan), sødestof/ søtstoff/sötningsmedel (sura ukralos), farvestof / färgämne (carmin / karmin). For allergenera gredienser med store bogstaver og fed skrift/uthevet skrift/ med versaler och fetstil. FI Mansikanmakuinen maitoproteinjon sältää makeutusainetta. UHT-käsitelty. Ravistettava hyvin ennen aa Säilytä viileässä ja kuivassa paikassa. Avattu tuote säilytettävä jääkaa käytettävä 24 tunnin kuluessa. AINESOSAT: Rasvaton M MAITOproteiinitiiviste (30 %), rasvaton MAITOjauhe, vesi, luontainer stabilointiaineet (selluloosa, selluloosakumi, karrageeni), makelit (sukraloosi), väri (karmiini). Isoilla kirjaimilla ja lihavoidusti kirjoitetul ovat allergeeneja. DE Milchproteingetränk mit Erdbeergeschm Subungsmittel, Ultrahocherhitzt. Vor dem Öffnen gut schütteln trocken aufbewahren. Nach dem Öffnen im Kühlschrank aufbewa innerhalb von 24 Stunden konsumieren. WLCHproteinkonzentrat (30 %), MagerMILCHpulver, Was Aroma, Stabilisatoren (Cellulose, Cellulosegummi, Carrageen) S (Sucralose), Farbstoff (Echtes Karmin). Für Allergene slehe letgedruckter Großschrift. FR Boisson protéinée au lait aromatis avec edulcorant. Traité UHT. Bien secouer avant d'ouvrir. A consen endroit frais et sec. Une fois ouvert, conserver au réfrigérateur a 24 heures. INGREDIENTS: LAIT écrémé, concentré de proteine de L LAIT écrémé en poudre, eau, arôme naturel, stabilisants (cellulose allergenes, voir ingrédients en majuscules et en gras. &quot;Contain com INGSI",48.0,7.6,0.1,4.0,,,
