product_name,ingredients,energy_kcal,protein_100g,fat_100g,carbohydrates_100g,allergens,price,rating
Veganer Proteinriegel,"Kreuzkontamination 25 % Schokoladenkuvertüre (Kakaomasse, Süßungsmittel: Maltit; Kakaobutter, Emulgator: Lecithine; natürliches Aroma), vegane Proteinmischung (SOJAPROTEIN, Erbsenprotein, Reisprotein), Feuchthaltemittel: E 422; Verbundüberzug mit Süßungsmittel und Ballaststoffen (Süßungsmittel: Maltit; Kakaobutter, Ballaststoffe: Oligofruktose; Kakaomasse, Reismehl, Emulgator: Lecithine; natürliches Aroma), Ballaststoffe: Polydextrose; 4% SOJAPROTEIN NUGGETS (SOJAPROTEIN ISOLAT, Kakao, Tapiokastärke), Sonnenblumenöl, fettreduziertes Kakaopulver, Aroma, Süßungsmittel: E 955. Kann bei übermäßigem Verzehr abführend wirken Kann GLUTEN, ERDNÜSSE, MILCH (LAKTOSE) und SCHALENFRÜCHTE enthalten",367.0,23.6,17.1,36.4,"en:milk,en:soybeans",,
Raw bar vegan cocoa and gojiberry,"DRIED DATES, RAW ALMONDS, RAW GOJI BERRIES (9%6), DESICCATED COCONUT, COCOA POWDER (4%), OAT NUTS, FLAX SEEDS, RAW CRUSHED COCOA BEANS (2%), AGAVE SYRUP, CONCENTRATED GRAPE SYRUP, MAY CONTAIN SESAME, PEANUTS AND OTHER NUTS, STORE IN A DRY COOL PLACE, AWAY FROM DIRECT SUNLIGHT, DE ROHKOSTRIEGEL MIT KAKAO UND GOJI-BEEREN 30 GR, ZUTATEN: GETROCKNETE DATTELN, ROHMANDELN, ROHE GOJI-BEEREN (9%), GETROCKNETE KOKOSNUSS, KAKAOPULVER (4%), HAFERNÜSSE, LEINSAMEN, ROHE ZERKLEINERTE KAKAOBOHNEN (2%), AGAVENSIRUP, KONZENTRIERTER TRAUBENSIRUP KANN SESAM, ERDNÜSSE UND ANDERE NÜSSE ENTHALTEN, TROCKEN UND GUT GELÜFTET LAGERN, FERN VON DIREKTER SONNEBESTRAHLUNG, FR BARRE CRUE AVEC CACAO ET BAIES DE GOJI 30G, INGRÉDIENTS : DATES SÉCHÉES, AMANDES CRUES, BAIES DE GOJI CRUES (9%), NOIX DE COCO DÉSHYDRATÉE, POUDRE DE CACAO (4%), AVOINE AVEC FRUITS À COQUE, GRAINES DE LIN, FÈVES DE CACAO CONCASSÉES (2%), SIROP D'AGAVE, SIROP CONCENTRE DE JUS DE RAISIN, PEUT CONTENIR DU SÉSAME, DES CACAHUETES ET D'AUTRES FRUITS À COQUE, CONSERVER DANS UN ENDROIT SEC ET BIEN AÉRE, À L'ÉCART DE LA LUMIÈRE DIRECTE DU SOLEIL, PL BATON RAW Z KAKAO IJAGODAMI GOJI 30 G, SKŁAD: SUSZONE DAKTYLE, MIGDAŁY, JAGODY GOJI (9%), SUSZ KOKOSOWY, KAKAO W PROSZKU (4%), OWIES Z ORZECHAMI, NASIONA LNU, MIAZGA KAKAOWA (2%), SYROPZ AGAWY, SKONCENTROWANY SYROP Z WINOGRON MOŻE ZAWIERAĆ SEZAM, ORZECHY ZIEMNE I INNE ORZECHY, PRZECHOWYWAĆ W SUCHYM I CHŁODNYM MIEJSCU, Z DALA OD SŁONCA,",305.0,8.5,2.1,55.0,,,
This is Food - Hazelnut Chocolate Riegel,"Lösliche Maisfaser, Milcheiweiß, Vollmilchschokolade 18% [Süßungsmittel: Maltit; Kakaobutter, Magermilchpulver, Kakaomasse, Zichorienwurzelfaser, Butterreinfett, Emulgator: Lecithine (Soja); natürliches Aroma], Feuchthaltemittel: pflanzliches Glycerin; Haselnussmus 8,4%, Haselnüsse 6,9%, Reisstärke, Süßungsmittel: Maltit; Kakaomasse, Kakaobutter, Zichorienwurzelfaser, fettarmer Kakao, Vitamine (A, D, E, K, B1, B2, B3, B5, B6, Folsäure, Biotin, B12), Mineralstoffe (Kalium, Magnesium, Eisen, Kupfer, Mangan, Zink, Chlor, Jod), Emulgator: Lecithine (Soja); Süßungsmittel: Steviolglycosid; Salz, natürliche Aromen. Kann Spuren von Ei, Weizen, Sesamsamen und anderen Schalenfrüchten enthalten.",367.0,22.0,18.0,28.0,en:soybeans,,
Protein bar double chocolate,N/A,344.4,26.3,15.2,27.6,,,
Protein oat bar chocolate imp,,419.0,21.0,18.6,36.9,,,
peanut butter oat bar,"Avoine Sans Gluten (41%), Sirop De Riz, Arachides (15 %), Huile De Noix De Coco, Sucre De Fleur De Coco, Sirop De Datte, Beurre De Cacahuète (4%), Huile De Colza, Sel. Pour les allergènes, voir les ingrédients indiqués en gras Peut contenir des Fruits à Coque, du Soia et du Lait",460.0,10.1,23.6,49.9,,,
протеинов бар,"τους δυνατού percuremium μέρα μου 1968osa cnec (wneuen προζ, cypobars4eum0 προmuehtpath και omneon 90btu), сол, стабилизатор (калциев карбонат), какаови криспита от соев протеин (соев протеин изолат, какао, нишесте тапиока)",,,,,,,
protein bar cookie & cream,"Glukozno-fruktozni sirup, MLIEČNA čokolada 16 maslac, kakao masa, cjelovito MLIJEKO u prahu, emulgator SOJIN lecitin i E 476, ekstrakt vanilije), izolat proteina SOJE, koncentrat proteina SIRUTKE invertni šećerni sirup, SOJINE pahuljice, biljna mast (palmine koštice, palma, shea), krema sa ukusom vanilije (secer, palmino i shea ulje, u prahu, obrano MLIJEKO u prahu, emulgator suncokretov lecitin, aroma, bojilo E 160c), ekstrudati (riz, izolat MLIJEČNIH bjelančevina, Inulin zgušnjivač akacjev gumi, emulgator lecitin iz uljne repice, aroma, mješavina antioksidanata iz prirodnih 'tokoferola, bojilo (karamel), vitaminska mješavina (DL-a-tokoferil aceta, nikotinamid, kalcijev D-pantotenat, piridoksin hidroklorid, riboflavin, tiamin mononitrat, pteroilmonoglutaminska Charg kiselina, D-biotin, cianokobalamin, antioksidans L-askorbinska kiselina, konzervans sorbinska kiselina, Može sa - državati tragove ORASASTOG VOCA, KIKIRIKIJA I SEZAMA.",421.0,22.8,16.5,43.5,,,
Protein Bar,N/A,396.0,37.0,11.7,39.3,,,
Protein soft layer Chocolate Toffee Brownie,N/A,337.0,24.0,13.0,31.0,,,
