product_name,ingredients,energy_kcal,protein_100g,fat_100g,carbohydrates_100g,allergens,price,rating
White Chocolate Macadamia Nut Flavour Energy Bar,"BROWN RICE SYRUP, ROLLED _OATS_ (14,3%) _SOY_ PROTEIN ISOLATE, CANE SYRUP, ROASTED _SOYBEANS_ RICE FLOUR, _MACADAMIA NUTS_ (52%), DRIED CANE SYRUP, _OAT_ FIBRE, _SOY_ FLOUR, COCOA BUTTER (22%), HIGH OLEIC SUNFLOWER OIL, FLAVOURINGS, SEA SALT, _BARLEY_ MALT EXTRACT, EMULSIFIER SOY LECITHIN,  ANTIOXIDANT:  TOCOPHEROL RICH EXTRACTS, VITAMINS & MINERALS: CALCIUM SALTS OF ORTHOPHOSPHORIC ACID, MAGNESIUM OXIDE, L-ASCORBIC ACID (VIT. C), DL-ALPHA TOCOPHERYL ACETATE (VIT. E), BETA CAROTEN (VIT. A), NICOTINAMIDE (VIT. B3), RIBOFLAVIN (VIT. B2), THIAMINE MONONITRATE (VIT. B1), PYRIDOXINE HYDROCHLORIDE (VIT. B6), ERGOCALCIFEROL (VIT. D2), CYANOCOBALAMIN (VIT. B12).",411.0,13.0,11.0,62.0,"en:gluten,en:nuts,en:soybeans",,
Chocolat Decadence,"Humectant (glycérol), gélatine hydrolysée, prota macao, agent de charge (polydextrose), édulcorants (maltitol, sucralose), graisse de palme durable, protéine lactique, cacao maigre, crème en poudre (lait), beurre de cacao, émulsifiant (lecithine de e dimes. Peut contenir: gluten, fruits à coque, arachides, graines de sésame.",391.0,30.0,20.0,27.4,en:milk,,
Fulfil Dark Chocolate & Mint Vitamin Protein Bar,"chocolat avec fibres et édulcorants 23,6% (masse de cacao, dextrine, beurre de cacao, édulcorants (érythritol, glycosides de steviol), inuline, oligofructose, cacao maigre, émulsifiant (lécithine de soja), arôme naturel), fourrage saveur menthe (agent de charge (polydextrose), beurre de cacao, xylitol, poudre de lait écrémé, sel, émulsifiant [E472c], colorant (E171), édulcorant (sucralose), arôme naturel de menthe), protéine de lait, hydrolysat de gélatine, humectant (glycérol), chips de soja (protéine de soja, fécule de tapioca, sel), chips de soja saveur chocolat (protéine de soja, cacao maigre, fécule de tapioca), huile de soja, cacao maigre, cacao concassé, sucre concassé saveur menthe (sucre, huiles végétales (huile de karité, huile de palme, arômes, colorant [E141], émulsifiant (lécithine de soja)), vitamines (vitamine C, vitamine B3, vitamine E, acide pantothénique, vitamine B2, vitamine B6, vitamine B1, acide folique, vitamine B12), sel, arômes (contient lait)",338.0,35.5,12.3,18.1,"en:milk,en:soybeans",,
Total Protein Bar low sugar,N/A,324.0,38.0,11.0,5.0,,,
FULFIL Coconut and Chocolate,N/A,344.0,34.4,14.1,19.6,,,
Barre proteine,"Ingredientes: proteínas do leite 25%, xarope de polidextrose (agente de volume: polidextrose 70%, água), xarope de açúcar invertido, humidificante: glicerol, xarope de glucose, açúcar, cereais de proteína de soja com cacau torrados 6,3% (isolado de proteína de soja, cacau magro em pó, amido de tapioca), gelatina (bovino), pasta de cacau, leite em pó, gordura de palma, manteiga de cacau, lactose, aromas, acetato de D-alfa-tocoferilo, D-pantotenato de cálcio, cloridrato de piridoxina, riboflavina, mononitrato de tiamina, cianocobalamina, nicotinamida, sal, emulsionante: lecitinas (girassol). Pode conter vestígios de amendoins, sementes d sésamo, ovo, avelãs e outros frutos de casca rija.",364.0,32.0,11.0,34.0,,,
Mars Hi Protein,,351.0,33.0,8.1,39.0,,,
Crunchy one,N/A,375.0,31.0,17.0,35.0,,,
Protein Bar,N/A,433.0,31.0,21.0,32.0,,,
Protein Bar flavour Vanilla & Caramel,N/A,414.0,31.0,,,,,
Protein Whole Seed Bars with Sunflower & Pumpkin Seeds,"Sunflower Seeds (33%), Soy Protein Crisps (Soy Protein Isolate, Tapioca Starch, Soy Lecithin, Salt), Glucose Syrup, Dark Chocolate (10%) (Sugar, Cocoa Mass, Cocoa Butter, Milk Fat, Emulsifier (Soy Lecithin), Natural Flavour), Chicory Fibre, Pumpkin Seeds (7%), Coconut (5%), Goji Berries (2%), Natural Flavours, Humectant (Glycerol), Food Acids (Citric Acid, Malic Acid), Emulsifier (Soy Lecithin), Sunflower Oil, Contains Traces of Peanuts and Tree Nuts. Dark Chocolate contains average 43% Cocoa Solids. Contains: Soy, Milk, Peanuts and Tree Nuts. May Contain: Cereals containing Gluten, Sesame Seeds and Sulphites.",464.0,25.9,25.8,25.6,,,
Protein Bar Brownie Core,N/A,377.0,33.0,17.0,29.0,,,
Chewy Protein Bar,"Fructoligosaccharides, Dark chocolate flavoured coating (sugar, modified palm kernel oil, cocoa powder, milk ingredients, soya lecithin, salt), Peanut butter, Sugars (glucose, maltodextrin), Semi-sweet chocolate chips (sugar, chocolate liquor, cocoa butter, soya lecithin, salt, vanilla extract), Glycerin, Soya protein isolate, Gum arabic, Chicory root inulin, Sea salt, Soya lecithin, Dried unsweetened coconut, Almonds, Natural flavor, Almond butter",450.0,25.0,27.5,40.0,,,
Protein bar,N/A,345.0,31.0,14.0,30.0,,,
Protein Bar Crunchy White Chocolate Cookie Dough Geschmack,N/A,374.0,33.9,16.0,28.5,,,
Fulfil chocolate brownie flavour,N/A,359.0,36.4,13.4,29.5,,,
High protein,N/A,83.0,8.8,0.0,12.0,,,
Protein bar,N/A,422.0,22.8,16.5,43.5,,,
La Barre proteinée beurre de cacahuète 30g,"Protéine de lait  (isolat de protéines de lait, isolat de protéines de lactosérum (lait), émulsifiant : lécithines de soja), fibres végétales (oligofructose), arachides: 16,2%, agent de charge : sirop de maltitol, enrobage de chocolat noir avec édulcorants 6,6% (édulcorant : maltitol, pâte de cacao, beurre de cacao, émulsifiant : lécithine de SOJA, arôme), isomalto-oligosaccharides en poudre, beurre de cacao désodorisé, cacao en poudre, eau, arôme (lait), sel, correcteur d'acidité : acide citrique, conservateur : sorbate de potassium.",348.0,34.0,13.7,15.1,en:milk,,
Vegan protéines bar,,340.0,31.0,10.0,22.0,,,
active protein bar schoko erdnussbutter,"Milchschokolade mit Süßungsmittel (Süßungsmittel: Maltit; Kakaobutter, Vollmilchpulver, Kakaomasse, Emulgator: Lecithine [enthält Soja], natürliches Aroma), Milcheiweiß, Feuchthaltemittel: Glycerin; Kollagenhydrolysat, Wasser, Sojaproteinisolat, Füllstoff: Polydextrose; weiße Schokolade mit Süßungsmittel (Süßungsmittel: Maltit; Kakaobutter, Vollmilchpulver, Emulgator: Lecithine [enthält Soja), natürliches Aroma), Palmfett, geröstete Erdnussstückchen, Aroma, Süßungsmittel: Sucralose. Das Produkt kann Spuren von Gluten und Schalenfrüchten enthalten. 4 Kann bei übermäßigem Verzehr abführend wirken.",373.0,40.3,14.5,29.4,,,
Yes Protein Plus,,483.0,16.0,22.0,53.0,,,
barbarian protein bar,"Proprietary protein blend* 21% (pea and rice protein in varying proportions), dates*, agave syrup&quot;, cashew* 15%, coconut flakes 13%, dark chocolate* 12% (cocoa mass* 44,0% raw cane sugar* 26,2%, cocoa butter* 18,6%, cocoa powder 11,2%,vanilla extract* 0,02 %; [total cocoa solids not less than 73,8%)), chia* 4% and Himalayan salt. &quot;ingredients from organic origin.",478.0,23.0,23.0,41.0,en:nuts,,
Protein 50% premium low carb extreme,N/A,404.0,50.0,16.0,21.0,,,
Protein Nix crunchy vanilla,N/A,,,,,,,
Protein barretta proteica al cacao,"miscela proteica (concentrato di proteine del siero del latte, proteine isolate del latte, proteine isolate di piselli), sciroppo di glucosio, grassi vegetali (palma non idrogenato, karité), frutto-oligosaccaridi, croccantini di soia 4% (isolato di soia, amido di tapioca, sale), cacao magro in polvere 3.3%, zucchero, cacao in polvere 1.6%, umettante (sorbitolo), aromi, emulsionante (lecitine), aroma naturale di vaniglia, sale, può contenere glutine, arachidi e altra frutta a guscio.",422.0,32.0,16.0,34.0,,,
Chocolate Almond Fudge Energy Bar,"BROWN RICE SYRUP ROLLED OATS (19,1%), CANE SYRUP, SOY PROTEIN ISOLATE, ROASTED SOYBEANS, RICE FLOUR, ALMONDS (4,0%),  COCOA (3%), S0Y FLOUR, DRY CANE SYRUP, HIGH OLEIC SUNFLOWER OIL UNSWEETENED CHOCOLATE (1,6%),  OAT FIBRE, FLAVOURINGS, SEA SALT, COCOA BUTTER (0,2%). BARLEY MALT EXTRACT, EMULSIFIER : SOY LECITIN, ANTIOXIDANT : TOCOPHEROL RICH EXTRACTS. VITAMINS & MINERALS : CALCIUM SALTS OF ORTHOPHOSPHORIC ACID, MAGNESIUM OXIDE, L-ASCORBIC ACID (VIT. C) DL-ALPHA TOCOPHERYL ACETATE (VIT. E), BETA CAROTENE (VIT. A), NICOTINAMIDE (VIT B3), RIBOFLAVIN (VIT. B2), THIAMINE MONONITRATE (VIT. B1), PYRIDOXINE HYDROCHLORIDE (VIT. B6), ERGOCALCIFEROL (VIT. D2), CYANOCOBALAMIN (VIT. B12)",404.0,14.0,9.0,63.0,"en:nuts,en:soybeans",,
Pure Protein Bar Variety Pack,,,,,,,,
Decathlon whey protein bar,"Protéines de lait, chocolat de couverture au lait (18%) (sucre, beurre de cacao, lait entier en poudre, pâte de cacao, lactosérum, émulsifiant: lécithine de soja, arôme naturel de vanille), sirop de fructose, sirop de glucose-fructose, humectant (glycérol, sorbitol), protéines de soja, gélatine hydrolysée, stabilisant : sirop de maltitol, protéines de blé hydrolysées (gluten), huile de colza, arômes, noisettes (1,5%), cacao maigre en poudre, cacao en poudre, amidon, sucre, sel,",396.0,37.0,11.7,39.3,"en:gluten,en:milk,en:nuts",,
Vo2 MAX BAR,"saveurs Banane, Chocolat ou Fruits rouges (170 -",402.0,24.5,11.5,50.0,,,
MyProtein Protein Brownie,"Protéine de Lait, Glycérine, Peptides de Glutamine (Blé), Farine d'Avoine , Huile Végétale (Palme), Pépites de Chocolat (9%) (Pâte de Cacao, Sucre, Emulsifiant (Lécithine de Soja), Aromatisant) Maltodextrine, protéine de soja, Cacao en Poudre, Poudre à lever (Bicarbonate de Soude, Creme de Tartre), Aromatisant, Edulcorant (Sucralose).",383.0,30.7,12.9,36.0,,,
Rocky road,N/A,419.0,24.0,20.0,46.0,,,
Carb Killa Fudge Brownie High Protein Bar,,359.0,38.9,13.3,22.6,,,
Proteinbars,"Proteína LÁCTEA [proteína LÁCTEA, emulgente: lecitina de SOJA], chocolate blanco 34% cacao [azúcar, manteca de cacao, LECHE entera en polvo, suero LACTEO en polvo, emulgentes: lecitina de SOJA y polirricinoleato de poliglicerol, aroma] (17%), jarabe de glucosa, jarabe de fructosa, elaborado LACTEO atomizado a partir de yogur [atomizado de yogur, proteína LACTEA], humectantes: jarabe de maltitoly glicerina, cobertura de chocolate negro 60% cacao en escamas [pasta de cacao, azúcar, manteca de cacao, emulgente: lecitina de SOJAY polirricinoleato de poliglicerol, aroma] (2,7%), clara de HUEVO en polvo, aroma, aceite de girasol, cloruro sódico, piridoxina clorhidrato (vitamina B6).",380.0,31.6,10.0,44.5,"en:eggs,en:milk,en:soybeans",,
EXCELENT protein bar  černý rybíz s brusinkami,"cifr6noviar6ma son, Izolit s6javjch bielkovin, srvâtkovjproteinovj koncentrét, invertnj sirup, rastllnn&lt;/ tuk (palmojadrovj, pairnovj bambucwj), sbjové vlotky, s vanilky {Cukor, palmovy a bambuckY olej, suSenâ srvâtka, suSené odstredené mlieko, emulgàtor sojovj lecitin, ar6ma, farbivo Él 60c), presladené brusnice 4% brusnice, cukŒ, sine nicovj olej), kokos (kokos, antioxidant: oxid siriéitt) kukuriéno-zemiakowi extrudât (kukuriénâ krupica, zemiakovâ müka Cukor, pSenidnà vl,iknina), emu repkovj lecitin, emulzia tierna ribezra (arôma, farbivâ E 122 - moie maf nepriaznivt a pozornosf deti a E 133), L-gluiamin, regulâtor kyslostj: ky - sellna citrônové, zahustovadlo: guarovâ guma antioxidant zmes prirodnüch tokoferolov, L-leucm, VI remix (kyselina L-askorbova, DL-a-tokoferylacetât, mkotinamjd, D-pantothenat vàpenat'j pyridoxtn hydrochlorid, riboflavin, tiamin mononifrât, kyselina pteroylmonoglutamovâ,y B-biotin, kyanokobalamin , L-isoleucin, L-valln, konzervaCnâ lâtka: kyselina sorbovâ. Alergény Sü zvjraznené v zloien(. MôZe obsahovar stopy orechov, araSidov a sezamu. Nie je urpené pre deti, eho!né a d0JCiace rrjm pouiitim aiebo skladovanim. mg: Energy value/Energetické hodnota - 1836 kJ/",438.0,24.0,18.7,42.6,,,
CLEAN PROTEIN BAR,"Ingrcatcncs: milk proteins (milk protein concentrate, Whe roteìn isolate oligofructose, cocoa butter, bulking agent (polydextrose), blueberry, sunflower oil, veaetable fibres (acacia gumj, acidulant [citric acid), 0,5% skimmed yoghurt powder [milk), flavours [milk), salt, 02% strawberry, agent (beetroot concentrate), sweeteners [steviol glycosides, sucralose). Not suitab\e for diabetics. Produced in a facility that also processes peanuts. After opening close tight/y. coo\ and dry. For batch code/ best before: packaging.",305.0,33.1,8.0,5.8,,,
Crunch White Chocolate Crisp,N/A,376.0,30.0,17.0,39.0,,,
Barre protéinée au cacao,N/A,304.0,24.8,10.6,48.7,,,
Barre Proteinée &quot;Caramel Peanuts&quot;,Chocolat blanc avec édulcorant lait,393.0,36.0,18.0,31.0,,,
Isostar High Protein Bars Yoghurt,N/A,385.0,25.0,9.2,51.0,,,
Huel Bar v3.1 Chocolate,"Indients: Pea Protein, Brown Rice Syrup, Soluble Gluco Fibre, Concentrated Grape Juice, Rice Starch, Brown Rice Protein, Gluten-Free Rolled Oats, Dark Chocolate Chips (5%) (Cocoa Mass, Coconut Sugar, Cocoa Butter), Gluten-Free Oat Flour, Sunflower Oil, Flaxseed Powder, Emulsifier: Sunflower Leathin, Rice Bran, Cocoa Powder (2.5%), Micronutrient Blend (Potassium Citrate, Potassium Chloride, Calcium Carbonate, Maltodextrin, Vitamin C (as L-Ascorbic Acid), Magnesium Oxide, Niacin as Niacinamide), Vitamin E (as D-Alpha Tocopheryl Acetate), Pantothenic Acid (as Calcium D-Pantothenate), Zinc Oxide, Riboflavin, Vitamin B6 (as Pyridoxine Hydrochloride), Vitamin B1 las Thiamin Mononitrate), Potassium lodide, Vitamin K2 (as Menaquinone-7), Folate (as L-Methylifolate Calcium), Vitamin A (as Retinyl Acetate), Vitamin D2 (as Ergocalciferol), Vitamin B12 (as Cyanocobalamin)), Medium-Chain Triglyceride Oil (from Coconut), Tapioca Starch, Natural Flavouring. May contain: Peanuts, Tree Nuts and Mustard.",406.0,24.0,16.0,36.0,,,
Roasted Nut Protein Bars,"Roasted Nuts (43) (Peanuts, Almonds, Hazelnuts), Soy Protein Crisps (Soy Protein Isolate Tapioca Starch, Salt), Glucose, Dark Compound Chocolate (7%) (Sugar, Vegetable Fat, Cocoa Powder, Emulsifier [Sunflower Lecithin], Salt, Natural Flavours), Chicory Root Fibre, Soy Protein Isolate, Humectant (Glycerine [Plant Derived]), Sunflower Seeds, Honey (1%), Canola Oil, Emulsifier (Sunflower Lecithin), Himalayan Pink Salt (0.2%), Natural Flavour, Antioxidant (Vitamin E). Contains: Peanuts, Soy and Tree Nuts",481.0,28.6,26.5,27.3,,,
Crisp Bar,N/A,334.0,31.0,9.7,27.0,,,
PROTEIN BAR,N/A,401.0,33.5,12.5,40.0,,,
Protein bar,"dates, peanuts, egg whites, natural flavors, sea salt,",404.0,23.08,15.38,42.31,en:peanuts,,
Nuts & protein,N/A,,,,,,,
Premium protein bar - cookies cream,,391.0,50.0,15.0,21.0,,,
ENJOY PROTEIN    Salty  Cacao Nibs,"Pflanzliche Proteinmischung: Sonnenblumen - tein, Erbsenprotein, Reisprotein, Mandelprotein, Hanfprotein",388.0,25.0,15.0,40.0,,,
